Rank,followers,username,fid
1,603512,dwr,3
2,583590,jesse.base.eth,99
3,502084,vitalik.eth,5650
4,470297,jacob,8
5,470045,v,2
6,462986,phil,129
7,460398,greg,347
8,456997,ted,239
9,450224,linda,12
10,444359,coopahtroopa.eth,206
11,434192,dcposch.eth,56
12,432903,nonlinear.eth,576
13,431319,tim,207
14,413793,mikedemarais.eth,534
15,410443,zachterrell.eth,457
16,404777,cassie,1325
17,364154,horsefacts.eth,3621
18,350795,0xstark.eth,368
19,348341,colin,378
20,335437,polynya,11188
21,331743,noun40,1097
22,329242,seneca,2433
23,325819,fiveoutofnine.eth,733
24,322553,nicholas,1237
25,318296,giu,124
26,315796,kyle,303
27,310105,wilsoncusack,742
28,300162,slokh,3887
29,298060,balajis.eth,37
30,296928,lsankar.eth,54
31,292054,robin,369
32,290776,pugson,557
33,286482,liam.eth,80
34,275987,rish,194
35,274433,matthew,473
36,271601,pedrouid,8413
37,264779,typedarray.eth,651
38,261473,cameron,617
39,261394,prberg,10677
40,257327,yitong,101
41,254515,hyper,283
42,253807,lefteris.eth,10420
43,253683,pfista,451
44,252287,trent,1766
45,252162,0xdesigner,1317
46,251943,tldr,5774
47,250274,binji,2689
48,249617,todd,18
49,248855,danfinlay,2074
50,245808,woj,680
51,242022,gakonst,3860
52,241953,eulerlagrange.eth,16148
53,241871,july,1287
54,239727,manan,191
55,236162,horneps,4409
56,235748,pushix,359
57,231932,keccers.eth,4407
58,229609,sriramk.eth,43
59,224901,maurelian.eth,4179
60,224636,alok,28
61,220646,kaloh,13833
62,217827,tayyab,66
63,216400,ccarella.eth,472
64,216205,camilleroux,9816
65,211248,kepano,1321
66,207667,makemake,17793
67,204877,betashop.eth,602
68,195470,nickbytes.eth,631
69,187839,ansgar.eth,1380
70,185858,stephancill,1689
71,184982,0xen,528
72,183811,cdixon.eth,25
73,178792,brenner.eth,60
74,178336,karalabe.eth,18152
75,172881,hades,7933
76,172776,hww,7236
77,170675,base.base.eth,12142
78,170305,whatrocks,224
79,169729,jayme,373
80,169599,stc,7048
81,163082,terencechain,18559
82,161943,brianjckim,426
83,161704,toadyhawk.eth,3642
84,159562,corbin.eth,358
85,154844,j4ck.eth,431
86,152885,shawki,73
87,151559,imthedude,281836
88,148603,grin,1970
89,146818,polymarket,310928
90,145459,farcasteradmin.eth,1356
91,143651,adrienne,5818
92,143532,gigamesh,4378
93,143044,itai,516
94,141646,mcbain,1626
95,138180,jack,160
96,138163,n,274
97,136518,df,1214
98,135749,vgr,4606
99,134206,msolomon.eth,12370
100,133281,vm,325
101,133258,bitfloorsghost.eth,269694
102,130852,gm8xx8,1171
103,130293,eddy,48
104,129897,scharf,134
105,129229,six,7143
106,128928,cojo.eth,4327
107,128854,w1nt3r,701
108,127172,antimofm.eth,4923
109,125581,aviationdoctor.eth,7237
110,122752,nick,108
111,121688,barmstrong,20
112,120872,jacek,15983
113,119050,ace,539
114,118999,benersing,1285
115,118986,jackson,106
116,118348,alexgrover,10259
117,117868,billzh,1886
118,117270,emodi,604
119,115998,jc,251
120,115542,bias,1355
121,114571,fredwilson.eth,169
122,109852,dragonite.eth,244479
123,107779,banteg,4143
124,107390,sam,39
125,106880,steph,350
126,106383,jamesstevens,11040
127,105591,alor,1887
128,105297,dylsteck.eth,616
129,103821,notdevin.eth,2455
130,102031,samantha,1606
131,101184,syed,1236
132,100582,macbudkowski,1048
133,99866,tess,623
134,98544,drewcoffman.eth,3895
135,97987,rsa.eth,8046
136,97681,wake,2904
137,97621,seanhart,4612
138,97308,tynes,4155
139,97252,antonio,53
140,95488,serendipity,16567
141,94668,zoz.eth,1918
142,94434,nounishprof,4167
143,94109,briang,548
